experiment_id,N,arrival_rate,warm_service,optimization,learn_mask,k_gamma,max_concurrency,config_path,dag_path
N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5,1,5,0.5,adam,"[True, True, True]","[1, 1, 1]",50,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5/input_N01.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5/DAG_N01.json
N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5,1,5,0.5,adam,"[True, True, True]","[1, 1, 1]",5000000,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5/input_N01.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5/DAG_N01.json
N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-50__optimization-adam__warm_service-0p5,1,5,0.5,adam,"[False, False, False]","[1, 1, 1]",50,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-50__optimization-adam__warm_service-0p5/input_N01.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-50__optimization-adam__warm_service-0p5/DAG_N01.json
N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-5000000__optimization-adam__warm_service-0p5,1,5,0.5,adam,"[False, False, False]","[1, 1, 1]",5000000,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-5000000__optimization-adam__warm_service-0p5/input_N01.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-5__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-5000000__optimization-adam__warm_service-0p5/DAG_N01.json
N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5,1,10,0.5,adam,"[True, True, True]","[1, 1, 1]",50,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5/input_N01.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5/DAG_N01.json
N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5,1,10,0.5,adam,"[True, True, True]","[1, 1, 1]",5000000,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5/input_N01.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5/DAG_N01.json
N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-50__optimization-adam__warm_service-0p5,1,10,0.5,adam,"[False, False, False]","[1, 1, 1]",50,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-50__optimization-adam__warm_service-0p5/input_N01.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-50__optimization-adam__warm_service-0p5/DAG_N01.json
N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-5000000__optimization-adam__warm_service-0p5,1,10,0.5,adam,"[False, False, False]","[1, 1, 1]",5000000,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-5000000__optimization-adam__warm_service-0p5/input_N01.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-1__arrival_rate-10__k_gamma-1-1-1__learn_mask-false-false-false__max_concurrency-5000000__optimization-adam__warm_service-0p5/DAG_N01.json
N-5__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5,5,5,0.5,adam,"[True, True, True]","[1, 1, 1]",50,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-5__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5/input_N05.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-5__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-50__optimization-adam__warm_service-0p5/DAG_N05.json
N-5__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5,5,5,0.5,adam,"[True, True, True]","[1, 1, 1]",5000000,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-5__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5/input_N05.json,/opt/Projects/Soft2/NSGD/sanitycheck_sweep_run2/configs/N-5__arrival_rate-5__k_gamma-1-1-1__learn_mask-true-true-true__max_concurrency-5000000__optimization-adam__warm_service-0p5/DAG_N05.json
